Sinit,beta,alpha
0.36063915,2.1459777,0.25797454
0.55877006,0.77923,0.1451368
0.6477533,0.4046559,0.0873724
0.2767654,1.4781607,0.13636792
0.7038423,1.2363527,0.29006577
0.2768569,2.8622742,0.2641468
0.17305665,2.157414,0.12445161
0.5354692,1.2196753,0.2176995
0.6806152,1.2375678,0.2807691
0.2647054,2.8933535,0.25529543
0.3346935,2.44319,0.2725733
0.31922057,1.3990724,0.1488709
0.12457216,1.7857437,0.07415132
0.40355885,0.9675741,0.1301577
0.36562535,0.91267616,0.11123251
0.6667931,0.9074929,0.20170334
0.65611166,1.0508965,0.22983517
0.28670442,1.4230496,0.13599819
0.14138906,1.1063113,0.052140106
0.32610866,1.6793143,0.18254632
0.17560056,2.7251556,0.15951294
0.2924067,2.3148694,0.2256278
0.5813773,0.6912732,0.13396353
0.56039715,1.2715236,0.2375194
0.22329262,2.6416082,0.1966172
0.5389665,0.39075732,0.0702017
0.45613003,1.4788641,0.22485144
0.40137514,2.0118318,0.26916644
0.7070252,0.7107633,0.16750918
0.3306142,1.7725399,0.19534229
0.19413258,1.9966676,0.12920609
0.31168708,0.7736548,0.0803794
0.21720141,2.2466404,0.16265783
0.7523769,1.0921916,0.27391323
0.59242374,1.3443854,0.26548195
0.87573504,0.30903435,0.090210736
0.11402317,1.7935169,0.06816749
0.27396,2.0014298,0.18277057
0.6431412,0.92164946,0.19758357
0.324167,1.0411787,0.11250527
0.75353825,0.5579458,0.14014451
0.4898332,1.1339462,0.18514816
0.2064202,1.8346549,0.12623662
0.45876327,0.73105323,0.11179346
0.60487837,1.0163395,0.2049206
0.332969,1.640117,0.18203606
0.33539367,1.4465749,0.16172403
0.3325341,1.5083942,0.16719751
0.39533347,0.80954164,0.10667963
0.40900525,0.5400665,0.07363001
0.10086681,1.9991416,0.06721567
0.36488888,2.2950065,0.2791408
0.844978,0.73755014,0.20773788
0.542225,0.77366793,0.13983405
0.46972644,0.7926392,0.12410787
0.35828456,2.5103397,0.2998053
0.47981095,1.1288134,0.18053901
0.6101083,1.3907318,0.28283235
0.26084295,2.8731596,0.2498145
0.37678236,1.6484424,0.20703468
0.61495143,1.27234,0.26080912
0.3374833,2.6352882,0.29645523
0.5965776,1.0879718,0.2163532
0.6030454,1.1303349,0.22721443
0.315329,2.343405,0.24631451
0.18335228,2.9517155,0.18040125
0.79867375,0.6848652,0.18232794
0.48501727,1.8330797,0.29635844
0.44367117,1.8584266,0.27484342
0.44803274,1.3813744,0.20630032
0.2669929,2.587851,0.23031263
0.50671285,1.0726506,0.18117529
0.7160455,0.6626014,0.15815093
0.6954113,0.86935914,0.20152073
0.32665816,2.1469066,0.23376818
0.7812236,0.97616804,0.25420183
0.30290243,1.8107513,0.182827
0.5269063,1.1452403,0.20114477
0.5050434,1.1173816,0.18810871
0.25972635,2.3995867,0.2077453
0.2829077,2.1931958,0.206824
0.8566063,0.6861683,0.19592537
0.42182687,1.4253026,0.20041032
0.18135582,1.5133953,0.09148768
0.66846704,1.0647215,0.23724373
0.12352871,2.0103061,0.08277684
0.19209173,1.8327432,0.1173516
0.4771316,0.9513029,0.1512989
0.10900575,2.5092702,0.09117496
0.6345463,1.0705038,0.22642808
0.35477266,1.9685588,0.23279694
0.16211799,2.887989,0.156065
0.48788068,1.4817454,0.24097164
0.24327357,2.0779984,0.16850735
0.53014266,1.0466951,0.1849659
0.6438482,0.9627651,0.20662485
0.47036356,1.8881247,0.296035
0.58257836,1.076544,0.20905708
0.21612522,2.6881337,0.19365783
0.269191,1.7088124,0.15333231
0.5887471,1.2993362,0.25499347
0.85116833,0.60936254,0.17289004
0.63131434,0.73154485,0.15394491
0.4718065,0.6626961,0.10422145
0.59699196,0.37779576,0.07518034
0.34030566,1.0547081,0.11964104
0.67211205,0.94308096,0.21128537
0.4666059,1.3339605,0.20747796
0.8248097,0.7303993,0.20081347
0.24959524,2.0180268,0.16789663
0.38372645,1.1477542,0.14680788
0.28370643,2.0825593,0.19694516
0.49523702,1.0144356,0.16746204
0.6995832,0.6815708,0.1589385
0.40896592,0.4862518,0.0662868
0.52427435,1.0212909,0.17847887
0.23156016,1.2565172,0.096986435
0.6337886,1.2838969,0.27123976
0.4804107,1.284973,0.2057716
0.71661544,0.77003103,0.18393871
0.32910228,1.2761898,0.139999
0.3425792,2.04588,0.23362531
0.19254631,2.6148434,0.16782615
0.42493334,2.0259502,0.2869646
0.2954393,2.424405,0.23875484
0.37924114,2.3695562,0.2995444
0.4101747,1.5408659,0.21067472
0.48473164,1.7807394,0.2877269
0.6661817,1.349046,0.29956993
0.49327412,1.7307848,0.28458378
0.26766318,1.6628095,0.14835761
0.49491,0.7011696,0.115671955
0.479749,1.8619967,0.29776365
0.21811275,2.2470226,0.16336809
0.59204966,1.1636188,0.22964002
0.76655096,0.3534354,0.09030875
0.3529052,2.03968,0.23993792
0.65886754,1.0207484,0.2241793
0.8114278,0.7745811,0.20950553
0.3758015,1.9385011,0.24283054
0.36755368,1.9345831,0.23702104
0.6788956,1.3046368,0.2952374
0.3171854,2.527577,0.26723686
0.4436274,0.35664588,0.052739292
0.6834659,0.3915115,0.089194916
0.8664342,0.88454425,0.25546646
0.3683834,1.7302157,0.2124609
0.1939476,2.1330836,0.13790214
0.33273992,1.7476236,0.1938347
0.36855832,1.8442074,0.22656599
0.23623775,1.8324486,0.14429784
0.8556869,0.5936689,0.16933157
0.32636043,2.382973,0.25923604
0.53028756,1.680843,0.29711005
0.27240145,1.9967649,0.18130721
0.27061737,2.8264158,0.25495905
0.7253542,0.59341,0.14347748
0.83612925,0.6365358,0.17740874
0.25983754,1.0295063,0.08916814
0.18364775,2.9641726,0.18145454
0.88081616,0.76062155,0.22332259
0.47792208,1.2767143,0.20338999
0.6886046,1.1788793,0.27059388
0.39094582,1.009747,0.13158545
0.291179,0.51660955,0.050141945
0.23663415,2.6875257,0.21198678
0.47727394,1.606918,0.2556467
0.4755952,1.4611787,0.23164319
0.278209,1.4543989,0.13487563
0.38919735,1.4888195,0.1931482
0.84117943,0.5758139,0.16145428
0.41151243,1.3669243,0.18750213
0.8146131,0.5973563,0.16220477
0.502395,1.5308566,0.2563649
0.5834214,1.5125406,0.29414952
0.23810402,0.884289,0.07018425
0.4553514,1.9337494,0.29351184
0.14508307,2.656973,0.12849392
0.45965672,0.4464385,0.06840282
0.76718336,1.1596617,0.2965577
0.66480035,1.2607157,0.27937475
0.13366295,1.6648222,0.07417502
0.37942794,1.9347683,0.24470173
0.239692,2.8441358,0.22723885
0.5453269,1.451047,0.26376498
0.44958195,0.83035684,0.12443782
0.5511589,1.1885173,0.21835396
0.6795957,0.68874675,0.15602311
0.7797963,0.8185051,0.21275575
0.83754236,0.96510065,0.26943755
0.8098859,0.9771242,0.26378638
0.33537787,1.635623,0.18285058
0.30764595,1.2594506,0.12915495
0.34363666,2.5295088,0.289744
0.28152293,1.8144367,0.17026852
0.37090763,1.3765541,0.17019147
0.3731019,2.325554,0.28922284
0.80568075,0.89578617,0.24057257
0.37408116,1.1545447,0.14396448
0.30955067,2.5056179,0.25853857
0.14767663,1.7529191,0.08628839
0.2860604,2.9785097,0.28401121
0.4324934,0.89709705,0.12932952
0.65781635,1.3551412,0.29714468
0.5896505,1.1861817,0.23314422
0.1254239,2.4003458,0.10035357
0.1697654,2.1901035,0.1239346
0.36440092,1.5854584,0.19258082
0.40338844,1.6778167,0.22560395
0.2869827,2.872182,0.2747555
0.22376655,2.051244,0.15299994
0.70605564,0.9501449,0.22361839
0.6392038,1.2068067,0.2571318
0.25697348,2.5634985,0.21958372
0.28847736,1.7970461,0.17280236
0.6564206,0.6073811,0.13289915
0.33228433,1.5439523,0.17101039
0.39779449,2.038472,0.27029765
0.29931408,2.2778463,0.22726382
0.20808817,2.10461,0.14598148
0.2342917,2.06354,0.16115676
0.2835902,2.9856005,0.282229
0.88500357,0.9071103,0.2675986
0.4432059,1.1924458,0.17616633
0.29574648,2.5421524,0.2506109
0.7065234,1.236608,0.29123083
0.41887474,1.0487103,0.14642608
0.16621108,2.8275294,0.15665556
0.5489062,1.6026218,0.29322967
0.3360264,2.0408657,0.2285949
0.22092654,2.9672155,0.21851222
0.8948992,0.84583044,0.252311
0.5386072,0.7678256,0.13785212
0.4471937,1.1201001,0.16696726
0.2704466,1.6512253,0.14885609
0.7001768,0.81917894,0.19119003
0.71951216,1.07893,0.25876778
0.5448182,1.562915,0.28383487
0.3046783,1.6808195,0.17070308
0.40490893,2.0802271,0.28076753
0.10350466,2.7854288,0.09610162
0.33718026,1.0319738,0.11598707
0.33821926,1.4884418,0.16780657
0.7244719,0.91058403,0.21989752
0.65742505,1.2334301,0.27029595
0.5717306,1.4712838,0.28039268
0.6982173,0.93995327,0.21876386
0.25710326,2.504094,0.21460356
0.14697608,2.4060361,0.11787659
0.30252486,2.7401524,0.2763214
0.75654644,1.0073155,0.25402698
0.60303867,0.7811431,0.15701984
0.6716539,1.2308375,0.27556562
0.20581476,2.943885,0.201965
0.5857583,1.1094294,0.21661916
0.76963156,0.97165203,0.24927138
0.27279806,1.360476,0.123711735
0.48564205,0.5864038,0.09492745
0.7732301,0.5147851,0.13268246
0.5902683,0.91619855,0.18026765
0.29396456,1.2603518,0.12349959
0.22793588,2.7018576,0.20528342
0.18734168,2.5370166,0.15842965
0.39304733,1.5422518,0.20205933
0.54946226,1.3583311,0.24878392
0.4974271,1.313326,0.21776131
0.16343337,2.6537168,0.14456862
0.8225151,0.89532584,0.245473
0.37908867,1.9457093,0.24586546
0.3781875,2.153311,0.27145177
0.8838505,0.74277306,0.21883345
0.40609285,1.1523378,0.15598539
0.258186,2.3273048,0.20029253
0.8768252,0.8996797,0.26295397
0.6897379,1.0727693,0.24664322
0.3649839,1.5906953,0.19352604
0.29928645,0.5595802,0.055824924
0.7986336,0.8558316,0.22783196
0.7703343,0.3354522,0.08613677
0.4195778,1.1546963,0.16149499
0.17063095,2.4036293,0.13671118
0.83369654,0.5684527,0.15797235
0.15833811,1.1278973,0.059529707
0.55176944,1.2595351,0.23165765
0.17337532,2.4623587,0.1423041
0.49843788,1.2529489,0.2081724
0.44272098,1.8316075,0.270297
0.29437247,1.2573544,0.12337685
0.31636176,1.400879,0.14772819
0.27025923,0.88098097,0.07936441
0.32950896,2.6611297,0.2922887
0.2745938,1.2568309,0.11503933
0.7232501,0.39463955,0.09514103
0.77124715,0.3319306,0.08533351
0.7121885,1.0029308,0.2380919
0.34592205,2.0111084,0.23189558
0.29823062,0.9905883,0.098474585
0.19237395,2.5652795,0.16449764
0.12102449,2.5752904,0.10389107
0.45327574,0.58759063,0.088780195
0.88283336,0.60232353,0.17725044
0.647863,1.3032074,0.28143328
0.17510523,1.9954801,0.116473
0.61138743,0.99974906,0.20374466
0.49983522,1.3101625,0.21828845
0.6363032,0.6280515,0.1332104
0.23385672,2.7469344,0.21412969
0.8163067,0.45951173,0.12503417
0.44729075,1.6006861,0.23865736
0.19452615,2.5150268,0.1630795
0.29885846,2.4775176,0.24680904
0.53338856,0.67813164,0.12056922
0.22347812,2.8688672,0.21370968
0.38066798,1.2555797,0.15931967
0.5941102,1.4593595,0.2890068
0.13429338,2.6807132,0.12000067
0.34047836,1.5856254,0.17995705
0.66973233,1.3117516,0.2928408
0.4767046,1.7243916,0.27400845
0.44371065,1.9583033,0.28964
0.74083406,1.1600845,0.2864767
0.4459855,1.547335,0.23002966
0.41317984,1.9459318,0.26800662
0.31788987,2.7724519,0.29377812
0.72357726,0.8196582,0.19769534
0.21637484,2.345932,0.16920024
0.5941074,1.3899281,0.2752555
0.36132422,1.9591137,0.23595841
0.35653737,2.238085,0.26598698
0.24677974,2.4548676,0.2019372
0.3300149,2.6623244,0.2928689
0.46089932,0.50112283,0.076989055
0.21859635,1.7715521,0.12908494
0.30049938,2.1257937,0.21293323
0.19218571,1.9023038,0.121865205
0.84529746,0.68689,0.19354212
0.5677441,1.2007676,0.2272429
0.33142963,2.6019077,0.28744978
0.7176972,0.4153594,0.099367425
0.51122,1.0972682,0.1869818
0.32609233,2.2859886,0.24848111
0.17478587,2.8336058,0.16509141
0.46184185,1.6571301,0.25511068
0.36923984,1.9807211,0.24378704
0.28475267,2.8742774,0.27281937
0.5460691,0.8450768,0.15382344
0.38446683,1.9823105,0.2540442
0.45335314,1.1453155,0.17307746
0.38740712,1.299377,0.16779596
0.760593,0.8201163,0.2079249
0.2437178,1.26346,0.102642566
0.6044193,1.2858688,0.25906798
0.3390345,2.428116,0.27440503
0.61352783,0.8329851,0.17035319
0.69030106,0.5469694,0.12585786
0.42533806,0.41971055,0.05950629
0.264667,0.99964917,0.08819138
0.6556296,1.0019312,0.21896523
0.1891413,2.5531156,0.16096653
0.7959602,1.0568025,0.2803909
0.18860911,1.8980299,0.11932858
0.47704563,0.941978,0.14978883
0.71485823,1.2160329,0.2897637
0.555048,0.3395866,0.06282895
0.2314828,2.7168975,0.20963834
0.7408146,0.38590577,0.095294885
0.6643833,1.3312541,0.294821
0.30174193,0.7937144,0.0798323
0.6025534,0.768468,0.15434767
0.50861394,1.5749725,0.26701766
0.1542728,2.2165887,0.11398645
0.36059305,1.3790165,0.1657546
0.8398835,0.54156905,0.1516183
0.27825192,1.2730899,0.1180799
0.20718035,1.3568412,0.09370361
0.7453179,1.0363789,0.25747722
0.23443465,2.5090277,0.19606768
0.4193539,1.6196706,0.22640507
0.64443547,0.5273933,0.11329031
0.72136045,0.73581994,0.17693047
0.45543987,1.4880788,0.22591014
0.30554396,1.9524248,0.19885053
0.65703374,1.2887663,0.28225434
0.24461453,2.828999,0.2306714
0.35585335,1.7295924,0.20516042
0.7709358,0.7028304,0.18061236
0.4013418,1.0758585,0.14392899
0.2797177,1.3346878,0.12444527
0.37050173,0.6228765,0.07692561
0.5401411,1.3281492,0.2391293
0.8098278,0.6474005,0.17476098
0.5932308,1.4836127,0.29337493
0.29528844,1.8883067,0.18586504
0.36408883,2.1921406,0.26604465
0.2917961,2.1778152,0.21182597
0.8959702,0.95294595,0.28460371
0.41238636,1.8642598,0.2562651
0.8654043,0.81212395,0.23427185
0.29603192,2.4343438,0.24021451
0.2514582,1.8967123,0.1589813
0.663273,1.0258698,0.22681059
0.4914422,1.6983521,0.27821398
0.88035166,0.7475796,0.21937762
0.30010524,2.716284,0.27172372
0.1259777,1.5545523,0.06527964
0.3427287,1.6513942,0.18866007
0.58697,1.3755803,0.26914147
0.52475953,1.60089,0.28002745
0.42157325,0.8867991,0.12461692
0.7703744,1.1133448,0.28589743
0.30669928,0.92971504,0.09504764
0.37736148,2.355433,0.29628322
0.30798203,2.4142182,0.24784526
0.3197987,2.6204767,0.2793417
0.67426467,0.77332014,0.17380749
0.44898236,1.288165,0.19278778
0.6981618,1.2345967,0.28731605
0.3816241,1.9794933,0.25180745
0.20783831,1.2407511,0.08595854
0.42146978,1.8040226,0.253447
0.23097757,2.7707658,0.21332823
0.25230047,1.740692,0.14639246
0.2413376,2.358917,0.18976513
0.3331714,2.2116954,0.24562456
0.5542917,0.74319005,0.1373147
0.84615284,0.91475517,0.25800756
0.4813016,0.855939,0.13732159
0.10729139,2.577805,0.09219209
0.20254958,2.4685023,0.1666647
0.24028051,2.1399527,0.1713963
0.60473853,0.5812737,0.11717287
0.38086945,1.2068666,0.15321954
0.27325213,2.7374382,0.24933696
0.6090291,0.8669187,0.1759929
0.4638616,0.75775933,0.117165156
0.8379444,0.7299753,0.20389289
0.7497304,0.90469825,0.22609326
0.34397826,2.0317314,0.23295714
0.42769232,1.8353066,0.26164886
0.29112273,1.4840007,0.14400879
0.5483121,1.1298516,0.20650376
0.13193625,2.0377295,0.0896168
0.28246,1.7857585,0.16813512
0.8754683,0.9042848,0.2638909
0.48399085,1.5826715,0.25533286
0.64464784,1.1331658,0.24349765
0.21986814,2.6135538,0.19154574
0.5664159,1.1328982,0.2138972
0.5157316,0.88552034,0.15223026
0.24517608,2.279087,0.18625921
0.74416274,0.31718376,0.07867878
0.44214693,0.6502306,0.09583249
0.47659782,1.4282621,0.2269022
0.38546258,0.9022886,0.11593284
0.48104087,0.32235965,0.051689394
0.22290836,2.647701,0.19673157
0.37287608,1.4770384,0.1835841
0.6200011,0.82801336,0.17112304
0.36575446,1.7787995,0.21686795
0.27651045,2.1098828,0.19446822
0.31466377,2.0143216,0.21127799
0.5508265,0.98314226,0.1805136
0.39191848,0.45484167,0.059420288
0.7319003,0.88513726,0.21594407
0.34861985,1.0711659,0.124476574
0.27659026,2.8102908,0.2590997
0.24622057,2.6458833,0.21715698
0.29242727,2.8089025,0.2737999
0.3618304,2.3566322,0.28423372
0.5076648,0.9169749,0.15517196
0.8145676,0.8867936,0.24078447
0.2064969,1.9862335,0.136717
0.43484238,0.95392203,0.13826858
0.121861584,1.5716147,0.06383982
0.198629,1.3980297,0.092563085
0.3951577,0.862375,0.11359137
0.4063288,1.9721671,0.2671161
0.5373578,1.2495723,0.22382247
0.14829278,2.8933394,0.14302045
0.27786028,2.5434356,0.23557325
0.2458476,2.8708496,0.23526382
0.49472785,0.49337372,0.081361905
0.1956996,0.7765016,0.050653685
0.10999592,2.390434,0.08764599
0.8839476,0.34638873,0.10206316
0.43897015,1.7934142,0.26241845
0.21350007,2.9879208,0.21264042
0.6850058,0.92133147,0.21037246
0.73920643,0.7000974,0.1725055
0.6459672,0.40932855,0.088137604
0.57388365,0.66675895,0.12754735
0.32819125,2.344181,0.25644657
0.1451706,2.7889316,0.13495697
0.34643182,2.013203,0.23247918
0.5294658,1.072151,0.18922241
0.73451525,0.5122179,0.12541062
0.33750468,1.7470486,0.19654569
0.50704396,1.0040878,0.16970554
0.34566283,2.2338347,0.25738457
0.56281286,1.4278091,0.2678631
0.6232375,1.4359589,0.29831448
0.71534914,0.7339098,0.17500058
0.5399882,1.6365708,0.29457632
0.33606294,2.0952103,0.2347075
0.30620947,1.9743307,0.2015196
0.47046146,1.6572441,0.2598898
0.53221864,0.67102635,0.119044244
0.6951987,0.47638595,0.1103943
0.298458,1.7979786,0.1788737
0.5589779,1.3904834,0.25908315
0.16948111,1.831579,0.10347269
0.34242326,0.82416195,0.09407073
0.43821386,1.1158283,0.16299047
0.30147156,2.8356378,0.28495473
0.87412703,0.59171087,0.17241016
0.23462577,1.6007663,0.12519367
0.48933968,0.9369846,0.15283458
0.28516036,1.8636848,0.17714967
0.27536294,1.7252183,0.15835372
0.75009364,1.0415041,0.26040852
0.73890966,0.8364141,0.20601147
0.7002264,0.55096936,0.1286011
0.7268955,1.0851891,0.2629397
0.14653139,2.2503412,0.109915204
0.4881811,1.6196377,0.26355883
0.3085694,2.2347953,0.22986314
0.24051051,0.73539585,0.05895681
0.13960093,2.429838,0.113069214
0.23788595,0.98653656,0.078227736
0.2941154,1.6487987,0.1616457
0.41696158,1.3734359,0.19089
0.38584834,0.85632586,0.110137306
0.35170412,1.0430765,0.12228477
0.38503546,1.0280317,0.13194288
0.36502817,2.0736024,0.25230777
0.53934723,1.461594,0.26276886
0.53261507,1.2943307,0.22979335
0.77282226,0.32686958,0.084204026
0.8975139,0.75908226,0.22709563
0.3678934,2.100669,0.2576074
0.23282358,1.4350829,0.111373715
0.34002012,2.205181,0.24993531
0.23551454,1.7703056,0.13897757
0.32219213,2.248669,0.24150115
0.19452937,1.9113507,0.12393795
0.41324314,1.9584768,0.2697757
0.45928693,0.4534073,0.06941468
0.23121174,1.5520786,0.1196196
0.696365,1.1608819,0.26946583
0.29075566,2.9972663,0.29049072
0.27980363,2.735409,0.2551258
0.56413436,0.7832986,0.14729522
0.11732993,1.6068035,0.06284205
0.4678933,1.2958632,0.20210856
0.22491391,2.4637473,0.18471034
0.34377792,1.5602719,0.17879567
0.13948774,1.9038821,0.08852275
0.87864316,0.46937537,0.13747115
0.13213687,1.6352276,0.07202461
0.37076584,1.7537217,0.21674003
0.33811003,0.72745246,0.08198633
0.34284946,1.7024543,0.19456184
0.40126586,2.1276562,0.28458527
0.63181686,1.2353506,0.26017177
0.8041092,1.0143977,0.27189553
0.5513336,1.2398342,0.22785409
0.626224,1.2859455,0.26842996
0.297783,2.5480154,0.25291854
0.5583786,0.38090748,0.07089686
0.22458543,1.7412806,0.13035542
0.25548205,1.3106284,0.11161401
0.3599319,1.9357603,0.23224728
0.38703883,2.0519526,0.26472846
0.46698508,1.321812,0.2057555
0.28527397,2.4107394,0.22924039
0.4039759,1.5760437,0.2122279
0.15376075,2.5863712,0.13256079
0.39490566,1.6863921,0.22198859
0.14811403,2.9118822,0.14376354
0.6535098,1.2126079,0.26415038
0.3312816,1.3496808,0.14904146
0.36702812,2.023319,0.24753831
0.36009827,1.863038,0.22362557
0.3904512,1.7543037,0.22832333
0.34702405,2.213121,0.25600207
0.38806823,2.1561685,0.2789135
0.49735215,1.731329,0.28702673
0.19402087,1.8348484,0.1186663
0.33119372,1.6557649,0.18279298
0.3962379,1.6409644,0.21673743
0.1330885,2.59191,0.11498447
0.25683364,0.9708625,0.08311672
0.15667695,2.5849893,0.13500275
0.83235335,0.82250416,0.2282047
0.39939514,2.2372212,0.29784513
0.307303,1.3950796,0.14290404
0.51386607,0.6118143,0.10479687
0.56982785,1.0422441,0.19796658
0.35245064,2.4857483,0.2920345
0.28781036,0.7635504,0.07325257
0.795868,0.34756282,0.09220471
0.15511352,2.6343343,0.13620695
0.76758635,0.8617806,0.220497
0.7551017,1.1409427,0.2871759
0.20892009,1.3693116,0.09535889
0.77269316,0.8231635,0.21201761
0.28921247,2.3254433,0.2241824
0.2314727,2.984498,0.2302766
0.6931015,1.2016435,0.2776203
0.5877985,0.7517133,0.14728531
0.5240076,1.544484,0.26977378
0.54629064,1.3779523,0.2509208
0.7720125,0.69634646,0.17919606
0.45201358,1.4628036,0.22040236
0.56249565,1.1733133,0.21999453
0.13755442,2.199857,0.10086668
0.50540084,0.9236407,0.15560293
0.40251246,0.89759386,0.1204309
0.7128887,0.85720766,0.20369789
0.6248172,1.2852201,0.26767588
0.85493004,0.63536215,0.1810634
0.18684164,0.8842095,0.055069048
0.4439546,1.4245684,0.21081457
0.78560233,0.95884013,0.251089
0.19677456,2.8505702,0.18697323
0.5449414,1.4074568,0.2556605
0.23657003,1.1278857,0.08894132
0.8472811,0.7453797,0.21051537
0.22287709,2.209777,0.16416956
0.5739686,1.4677391,0.28081205
0.3286037,1.8499312,0.20263143
0.39106372,0.7173017,0.09350356
0.7691164,1.0788733,0.27659303
0.41131365,1.4797499,0.20288046
0.5193869,0.84640133,0.14653659
0.6522598,1.3246037,0.28799528
0.1882164,1.65521,0.103845894
0.54633576,0.35521844,0.06468951
0.3962805,1.7550094,0.23182534
0.40153232,2.1326537,0.28544313
0.3522796,1.9060897,0.22382548
0.4920555,0.81356025,0.13343893
0.28160906,1.4190837,0.13320895
0.60128963,1.445576,0.28973663
